Size,MSE
1,0.073355
2,0.076809
3,0.085985
4,0.09407
5,0.106392
6,0.102662
7,0.102956
8,0.10494
9,0.103494
10,0.108546
11,0.109002
12,0.1049
13,0.112305
14,0.112025
15,0.109804
16,0.108956
17,0.109672
18,0.108719
19,0.110605
20,0.110652
